"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"64" "FBgn0202785" 48.645923138982 0.745649701320449 0.424303770997954 0.00892501752108774 0.0382580761918282
"65" "FBgn0202828" 14.7065778441974 1.73645519199939 0.873977752581646 0.00175758860302673 0.0102047746441042
"66" "FBgn0202837" 560.939915210871 0.966336770523538 0.123264660530921 5.90470721673207e-16 3.30755387150727e-14
"67" "FBgn0202843" 1195.0287729575 0.580714649536923 0.13525691800292 4.79002093872044e-06 6.08518406210419e-05
"68" "FBgn0202844" 31.817486587587 1.28781537262582 0.445294267689205 0.000259336278161278 0.00203460413875296
"69" "FBgn0202860" 11.598683773355 -2.86961024790765 1.03973970142892 0.000319145540408998 0.00244008658936469
"70" "FBgn0202878" 816.371126075497 0.711428669135382 0.133068557820043 1.79286847506922e-08 3.62971930411486e-07
"71" "FBgn0202887" 53.5016403351924 3.25864719879453 0.437089371133132 7.06947985932565e-15 3.66837599148542e-13
"72" "FBgn0202931" 1621.86198700433 0.813814215768087 0.110719827207322 3.37455234324374e-14 1.62143490590258e-12
"73" "FBgn0202937" 18.7870655623702 1.40449045219652 0.635031800721261 0.00137048942292642 0.00827267512633026
"74" "FBgn0203000" 1490.01807312149 1.62577560806413 0.17113223364057 1.55846809295418e-22 1.49102642061307e-20
"75" "FBgn0203058" 295.5396472945 1.50465460025076 0.221016284415604 7.33771957389602e-13 2.97108937503333e-11
"76" "FBgn0203071" 5.48226715083978 -1.97683175456273 1.66672477312225 0.00669019909423456 0.0304153668661774
"77" "FBgn0203099" 157.187188045776 1.12867173853133 0.195723844884126 8.35583856418973e-10 2.1715137191696e-08
"78" "FBgn0203110" 4741.18252114755 0.646208790697369 0.109220573909615 7.66739905194154e-10 2.0217622231839e-08
"79" "FBgn0203125" 52.3100855163874 0.961153229840024 0.336288925036556 0.000421589735674864 0.00307751967075014
"80" "FBgn0203131" 268.239632146755 -0.953369876858459 0.239168769342614 7.56842138625662e-06 9.16262078463833e-05
"81" "FBgn0203138" 191.299218111655 1.27339489948082 0.251544473804174 3.60291876346056e-08 6.95556334853074e-07
"82" "FBgn0203150" 991.200553808659 -0.796798492871711 0.169825709332524 4.28174898898282e-07 6.88839111903174e-06
"83" "FBgn0203157" 372.80203687432 -2.26930543289651 0.210466244891324 2.73521197202825e-28 3.74308564931612e-26
"84" "FBgn0203183" 290.52738723752 0.89574347168711 0.181265123851862 1.01358205570231e-07 1.82326715544054e-06
"85" "FBgn0203202" 238.21479864979 -0.718233146704931 0.171434607552197 5.05778425167491e-06 6.37292605417919e-05
"86" "FBgn0203273" 492.708616281591 -0.805398372898371 0.146861344784328 6.4611901987983e-09 1.44322163717373e-07
"87" "FBgn0203275" 336.062618005379 1.64169043822377 0.179997844171481 5.62929078269397e-21 4.86866101213636e-19
"88" "FBgn0203286" 46.7065763167533 1.15980690513723 0.459298818652424 0.000811625677152112 0.00538973292118641
"89" "FBgn0203289" 102.230355983595 0.736146185977221 0.323380415027573 0.00319028683950301 0.0166797041766402
"90" "FBgn0203291" 897.094393545775 0.975961955610509 0.281790285707662 5.51472775276639e-05 0.00052298001522068
"91" "FBgn0203324" 9.92489313337421 3.27975713142647 1.11976175083886 0.00023182804476561 0.00184421853713098
"92" "FBgn0203327" 38.6355348732319 -1.40533215959837 0.702207266966215 0.00181913976510542 0.0105001174589187
"93" "FBgn0203332" 279.402822971683 -1.20708353658455 0.172298014793369 2.13224277828104e-13 9.48628669794086e-12
"94" "FBgn0203345" 72.1025827578924 1.26003952883065 0.392040911960398 9.56496075200102e-05 0.000856725689228526
"95" "FBgn0203356" 22.705102072736 -0.911095626332731 0.612167649752306 0.00893887440502951 0.0382725430466432
"96" "FBgn0203368" 105.662455948191 -1.09400333765017 0.266704290670171 3.81349605268686e-06 5.02359382590331e-05
"97" "FBgn0203369" 151.809310103613 -1.3903437200207 0.223684886797467 4.1296724428375e-11 1.3653176996794e-09
"98" "FBgn0203370" 489.700576960404 -0.949783704086873 0.156607231235051 1.64110802131433e-10 4.9146866533045e-09
"99" "FBgn0203412" 215.198562790189 -1.23019733072534 0.183553513177303 1.8797704782754e-12 7.15570374670257e-11
"100" "FBgn0203413" 160.374627180926 -0.772557498858232 0.228173348172784 0.00011006916568022 0.000971394081770501
"101" "FBgn0203445" 11.8060666610606 1.1588324627994 1.05898877229507 0.00876741472062634 0.0376876821251258
"102" "FBgn0203447" 124.089971393221 1.45378568844498 0.267791107055979 4.56169476790776e-09 1.03824172917581e-07
"103" "FBgn0203452" 195.549374472354 2.03162637450257 0.285122381630209 6.52790757405062e-14 3.0419486544423e-12
"104" "FBgn0203462" 503.443159979542 0.591683101008675 0.11630953081561 9.62823062023071e-08 1.73484668725524e-06
"105" "FBgn0203467" 111.716024324928 2.47104481685026 0.317038421518692 4.29473739624535e-16 2.45917719621e-14
"106" "FBgn0203479" 1978.84313271439 1.43739006006781 0.167873891095671 8.95346534395676e-19 6.45306092223444e-17
"107" "FBgn0203483" 537.219494477929 0.909745084305843 0.198277745132421 5.74842457485697e-07 8.94190188183866e-06
"108" "FBgn0203534" 68.8539576649837 1.59721881589755 0.539542516704976 0.000157721447290993 0.00132798019210508
"109" "FBgn0203540" 94.4203722213642 0.999855047851782 0.264549120533638 1.65506862630229e-05 0.000182767588549071
"110" "FBgn0203556" 82.4410707652657 5.72969273924215 0.561122783958128 9.53074616984203e-25 1.05139690655268e-22
"111" "FBgn0203565" 59.7095177583777 1.558105787657 0.347265584399159 4.64416276269023e-07 7.35110448425242e-06
